M,model,total,passed,pass_rate,median_max_err
5,EDMD,5,0,0.0,52389.640206278425
5,ESN,5,0,0.0,29.86260626098177
5,LinearStateMap,5,0,0.0,60.917898802026535
5,MLP,5,0,0.0,30.548834272878807
5,NVAR,5,0,0.0,6407.322885680696
5,Persistence,5,5,100.0,0.113838439581471
5,SINDy,5,0,0.0,26.771326994355444
5,pCHA,5,5,100.0,0.0003228735709561
10,EDMD,5,0,0.0,52416.67833343778
10,ESN,5,0,0.0,29.988710988413576
10,LinearStateMap,5,0,0.0,62.545367901456494
10,MLP,5,0,0.0,30.548834272878807
10,NVAR,5,0,0.0,17053.865578588942
10,Persistence,5,5,100.0,0.2276720255659671
10,SINDy,5,0,0.0,47.49708608749353
10,pCHA,5,5,100.0,0.0006521278631578
20,EDMD,5,0,0.0,6302.581631748902
20,ESN,5,0,0.0,30.11284523249236
20,LinearStateMap,5,0,0.0,62.545367901456494
20,MLP,5,0,0.0,30.548834272878807
20,NVAR,5,0,0.0,7304.1544238797715
20,Persistence,5,5,100.0,0.4553421037111511
20,SINDy,5,0,0.0,309.2284054201885
20,pCHA,5,5,100.0,0.0013417947734049
30,EDMD,5,0,0.0,13335.681120476183
30,ESN,5,0,0.0,30.16207759085419
30,LinearStateMap,5,0,0.0,62.545367901456494
30,MLP,5,0,0.0,30.548834272878807
30,NVAR,5,0,0.0,7668.546269575406
30,Persistence,5,3,60.0,0.6829726753245541
30,SINDy,5,0,0.0,34802.23009331378
30,pCHA,5,5,100.0,0.0020510946153831
