M,system,err,steps
5,ScrollDelay,35.52978597085187,39426
10,ScrollDelay,3.5904450948119924,35900
20,ScrollDelay,43663.10578709675,33341
30,ScrollDelay,2919.5336075935325,29382
30,ZhouChen,80.6407291091946,16978
40,HyperJha,7807.736422198472,19170
40,HyperRossler,24.454039594168528,26286
40,HyperYangChen,697.7717135342946,7835
40,Lorenz96,250.8499358615921,38477
40,Sakarya,680.0020138428104,22852
40,SaltonSea,14.893749067520114,10525
40,ScrollDelay,2556.1462404658364,27351
40,SprottH,0.1900896239269266,50000
40,ZhouChen,377.89771297654846,15370
50,Chen,310.3653959214436,3162
50,ChenLee,74.86320886175878,5176
50,Dadras,25.03009583189119,21511
50,DequanLi,951000.957474063,19464
50,ForcedVanDerPol,2179.232950061614,30088
50,GlycolyticOscillation,9978.858090878444,2369
50,Halvorsen,54.90664846241548,19527
50,HyperCai,77.36928544390642,505
50,HyperJha,32.33485122027377,356
50,HyperLu,35.89102847749658,565
50,HyperRossler,80819.05164113836,25124
50,HyperYan,25753.41013090705,5259
50,HyperYangChen,1359.760909411926,577
50,Lorenz,119.03109003706926,639
50,Lorenz96,45.62317738757368,711
50,LorenzStenflo,628.2646861706437,5316
50,LuChen,375.0683636804847,1185
50,LuChenCheng,5302.829187685945,9306
50,MooreSpiegel,86879.25395187408,25035
50,RayleighBenard,221.41929569457653,3220
50,Rossler,101.24424977799464,9906
50,Rucklidge,1158.5644893213464,9002
50,Sakarya,244.0652822269753,7162
50,SaltonSea,21.207614851938157,665
50,ScrollDelay,1310.6898839870405,24466
50,SprottH,0.5456412962444683,50000
50,SprottJ,22.465789923767048,4159
50,SprottL,64.46965533683128,7419
50,TurchinHanski,0.0518138826664193,50000
50,YuWang,2074.6745673695928,1936
50,ZhouChen,11514.40807816966,14817
