model,total,pass_eps0.1,rate_eps0.1,pass_eps0.01,rate_eps0.01,pass_eps0.001,rate_eps0.001
pCHA,117,116,99.14529914529915,115,98.29059829059828,93,79.48717948717949
NeuralODE,117,114,97.43589743589743,52,44.44444444444444,14,11.965811965811966
Persistence,117,114,97.43589743589743,54,46.15384615384615,14,11.965811965811966
EDMD,117,0,0.0,0,0.0,0,0.0
ESN,117,0,0.0,0,0.0,0,0.0
LinearStateMap,117,0,0.0,0,0.0,0,0.0
MLP,117,0,0.0,0,0.0,0,0.0
NVAR,117,0,0.0,0,0.0,0,0.0
SINDy,117,17,14.529914529914532,0,0.0,0,0.0
Transformer,117,0,0.0,0,0.0,0,0.0
