model,total,pass_eps0.1,rate_eps0.1,pass_eps0.01,rate_eps0.01,pass_eps0.001,rate_eps0.001
pCHA,117,116,99.14529914529916,114,97.43589743589745,82,70.08547008547009
ESN,117,0,0.0,0,0.0,0,0.0
NVAR,117,0,0.0,0,0.0,0,0.0
SINDy,117,10,8.547008547008547,0,0.0,0,0.0
EDMD,117,1,0.8547008547008547,0,0.0,0,0.0
LinearStateMap,117,1,0.8547008547008547,0,0.0,0,0.0
Persistence,117,91,77.77777777777777,39,33.333333333333336,10,8.547008547008547
MLP,117,0,0.0,0,0.0,0,0.0
Transformer,117,0,0.0,0,0.0,0,0.0
NeuralODE,117,90,76.92307692307692,39,33.333333333333336,10,8.547008547008547
