system,n_pass_eps0.1,n_pass_eps0.01,n_pass_eps0.001
Aizawa,3,3,3
AnishchenkoAstakhov,4,1,1
Arneodo,3,1,1
ArnoldBeltramiChildress,3,3,1
ArnoldWeb,3,1,1
AtmosphericRegime,3,1,0
BeerRNN,3,1,0
BelousovZhabotinsky,3,3,1
BickleyJet,3,3,3
BlinkingRotlet,3,3,1
BlinkingVortex,3,3,3
Bouali,3,1,1
Bouali2,3,3,1
CaTwoPlus,3,3,1
CaTwoPlusQuasiperiodic,3,3,3
CellularNeuralNetwork,4,3,1
Chen,3,3,1
ChenLee,3,1,1
Chua,3,3,1
CircadianRhythm,3,2,1
CoevolvingPredatorPrey,3,1,0
Colpitts,3,3,1
Coullet,3,1,1
Dadras,3,1,0
DequanLi,3,3,3
DoublePendulum,3,1,0
Duffing,3,1,1
ExcitableCell,3,3,0
Finance,3,3,1
FluidTrampoline,3,3,1
ForcedBrusselator,3,3,0
ForcedFitzHughNagumo,3,1,0
ForcedVanDerPol,3,1,0
GenesioTesi,3,1,1
GlycolyticOscillation,4,1,1
GuckenheimerHolmes,3,3,3
Hadley,3,3,1
Halvorsen,4,1,1
HastingsPowell,3,3,1
HenonHeiles,3,3,1
HindmarshRose,3,1,0
Hopfield,3,2,1
HyperCai,4,2,1
HyperJha,3,3,1
HyperLu,3,3,1
HyperQi,3,3,3
HyperRossler,1,1,1
HyperWang,3,3,3
HyperXu,3,1,1
HyperYan,4,1,1
HyperYangChen,3,1,1
IkedaDelay,3,3,1
InteriorSquirmer,3,3,1
IsothermalChemical,3,1,0
ItikBanksTumor,3,3,1
JerkCircuit,3,1,0
KawczynskiStrizhak,3,3,1
Laser,4,1,1
Lorenz,3,1,1
Lorenz84,3,1,0
Lorenz96,3,1,0
LorenzBounded,3,3,3
LorenzCoupled,4,1,1
LorenzStenflo,3,2,1
LuChen,3,1,1
LuChenCheng,3,1,1
MacArthur,4,3,1
MackeyGlass,3,3,1
MooreSpiegel,3,3,1
MultiChua,3,3,3
NewtonLiepnik,3,3,3
NoseHoover,3,3,1
NuclearQuadrupole,3,1,1
OscillatingFlow,4,2,1
PehlivanWei,3,1,1
Qi,3,3,1
QiChen,3,3,3
RabinovichFabrikant,3,3,1
RayleighBenard,3,1,1
RikitakeDynamo,3,3,1
Rossler,3,1,1
Rucklidge,3,1,1
Sakarya,3,1,1
SaltonSea,4,3,1
SanUmSrisuchinwong,3,1,1
ScrollDelay,0,0,0
ShimizuMorioka,3,1,1
SprottA,3,1,1
SprottB,3,1,1
SprottC,3,3,1
SprottD,3,3,3
SprottDelay,3,3,1
SprottE,4,1,1
SprottG,3,1,1
SprottH,4,1,0
SprottI,3,1,0
SprottJ,3,1,1
SprottJerk,3,1,1
SprottL,3,3,1
SprottM,4,3,1
SprottO,3,1,0
SprottQ,3,1,1
SprottR,3,1,1
SprottS,3,3,1
SprottTorus,3,1,0
StickSlipOscillator,3,3,3
SwingingAtwood,3,1,0
Thomas,3,1,0
ThomasLabyrinth,3,2,1
Torus,4,3,1
TurchinHanski,3,0,0
VallisElNino,4,1,1
VossDelay,3,1,0
WangSun,3,1,0
WindmiReduced,4,1,1
YuWang,3,1,1
ZhouChen,1,1,1
