dataset,n_train,model,steps,failed,err_max,err_p95,eps,PASS
SantaFe_Laser,15,pCHA,50000,False,0.00040798469551452685,0.0002766478188196441,0.09999881115025076,True
SantaFe_Laser,15,Persistence,50000,False,0.016102023613224818,0.009941863784707926,0.09999881115025076,True
SantaFe_Laser,15,ESN,50000,False,3.3909984785212743,3.325798044531433,0.09999881115025076,False
SantaFe_Laser,15,NVAR,21,True,887.0749243119698,277.5039167488392,0.09999881115025076,False
SantaFe_Laser,15,SINDy,50000,False,100.23336794520489,43.52471031650899,0.09999881115025076,False
SantaFe_Laser,15,EDMD,2329,True,7659.65509500548,98.54778518686618,0.09999881115025076,False
SantaFe_Laser,15,LinearStateMap,50000,False,367.4155411644014,350.5302507505123,0.09999881115025076,False
SantaFe_Laser,15,MLP,50000,False,3.3896675544842894,3.324286697365078,0.09999881115025076,False
SantaFe_Laser,50,pCHA,50000,False,0.00040798469551450717,0.0002766187242114567,0.09999881115025076,True
SantaFe_Laser,50,Persistence,50000,False,0.015465142170502351,0.009938453139683967,0.09999881115025076,True
SantaFe_Laser,50,ESN,50000,False,3.408238234707693,3.3420549428999795,0.09999881115025076,False
SantaFe_Laser,50,NVAR,71,True,1326.7030094815948,1.3536376334527749,0.09999881115025076,False
SantaFe_Laser,50,SINDy,50000,False,2.682081176809862,2.0940138493329608,0.09999881115025076,False
SantaFe_Laser,50,EDMD,50000,False,10.78828850534786,7.689677037370064,0.09999881115025076,False
SantaFe_Laser,50,LinearStateMap,50000,False,10.686815135834832,9.116707341046592,0.09999881115025076,False
SantaFe_Laser,50,MLP,50000,False,3.4042713437113417,3.335305440064928,0.09999881115025076,False
SantaFe_Laser,100,pCHA,50000,False,0.00040798469551452685,0.00027629711756355183,0.09999881115025076,True
SantaFe_Laser,100,Persistence,50000,False,0.0146008671636071,0.009932162748642887,0.09999881115025076,True
SantaFe_Laser,100,ESN,50000,False,3.4233395938115994,3.3400099153038765,0.09999881115025076,False
SantaFe_Laser,100,NVAR,171,True,3063.241912713993,0.25920888427600763,0.09999881115025076,False
SantaFe_Laser,100,SINDy,50000,False,2.3278368701381504,1.7657276784870737,0.09999881115025076,False
SantaFe_Laser,100,EDMD,50000,False,5.719412426511893,5.086546343146105,0.09999881115025076,False
SantaFe_Laser,100,LinearStateMap,50000,False,6.244030918881769,5.425383351842423,0.09999881115025076,False
SantaFe_Laser,100,MLP,50000,False,3.4217062145615293,3.350359818660551,0.09999881115025076,False
SantaFe_Laser,200,pCHA,50000,False,0.00040798469551447237,0.0002762971175635982,0.09999881115025076,True
SantaFe_Laser,200,Persistence,50000,False,0.013230775803725916,0.009922073150460028,0.09999881115025076,True
SantaFe_Laser,200,ESN,50000,False,3.391631701142359,3.2828114951863316,0.09999881115025076,False
SantaFe_Laser,200,NVAR,493,True,934.9573080180091,0.030468228794144295,0.09999881115025076,False
SantaFe_Laser,200,SINDy,50000,False,0.9562277132629726,0.721207291896232,0.09999881115025076,False
SantaFe_Laser,200,EDMD,50000,False,3.7389731662037384,3.359568410931497,0.09999881115025076,False
SantaFe_Laser,200,LinearStateMap,50000,False,9.736492352506634,8.016992265909243,0.09999881115025076,False
SantaFe_Laser,200,MLP,50000,False,3.4411303072845194,3.375148200529324,0.09999881115025076,False
OMNI,15,pCHA,50000,False,0.00192621960146331,0.00044092385363060204,0.34484471865067434,True
OMNI,15,Persistence,50000,False,0.01664393734019499,0.00594829900719323,0.34484471865067434,True
