n_train,model,total_datasets,passed,pass_rate,median_max_err
15,pCHA,7,7,100.0,0.0001559683017733
15,Persistence,7,6,85.71428571428571,0.000651423277015
15,ESN,7,0,0.0,0.1122642047045657
15,NVAR,7,0,0.0,60.61400102370191
15,SINDy,7,0,0.0,0.0622263620868855
15,EDMD,7,0,0.0,15.647146743390572
15,LinearStateMap,7,0,0.0,7.157775688525142
15,MLP,7,0,0.0,0.1123277834985455
50,pCHA,7,7,100.0,0.0001559930520798
50,Persistence,7,7,100.0,0.000651423277015
50,ESN,7,0,0.0,0.1116985998207323
50,NVAR,7,0,0.0,210.209121178154
50,SINDy,7,0,0.0,0.0866234639263552
50,EDMD,7,0,0.0,375.768046668228
50,LinearStateMap,7,0,0.0,1.5093210435004405
50,MLP,7,0,0.0,0.1124900522124863
100,pCHA,7,7,100.0,0.0001559141915571
100,Persistence,7,7,100.0,0.000651423277015
100,ESN,7,0,0.0,0.111533686961304
100,NVAR,7,0,0.0,67.50117838930285
100,SINDy,7,0,0.0,0.045182807163523
100,EDMD,7,0,0.0,751.9239230717575
100,LinearStateMap,7,0,0.0,1.7650187521108591
100,MLP,7,0,0.0,0.1127477726362396
200,pCHA,7,7,100.0,0.0001559688569695
200,Persistence,7,7,100.0,0.000651423277015
200,ESN,7,0,0.0,0.1103682341991132
200,NVAR,7,0,0.0,98.48715515221976
200,SINDy,7,0,0.0,0.6780582651326179
200,EDMD,7,0,0.0,1149.7413266057504
200,LinearStateMap,7,0,0.0,0.1993166752822962
200,MLP,7,0,0.0,0.1132349896953698
