n_train,model,n_total,n_pass,pass_rate,median_err_max
15,EDMD,7,0,0.0,15.647146743390572
15,ESN,7,0,0.0,0.11226420470456575
15,LinearStateMap,7,0,0.0,7.157775688525142
15,MLP,7,0,0.0,0.11232778349854552
15,NVAR,7,0,0.0,60.61400102370191
15,Persistence,7,6,85.71,0.0006514232770150417
15,SINDy,7,0,0.0,0.06222636208688558
15,pCHA,7,7,100.0,0.00015571144414039658
50,EDMD,7,0,0.0,375.76804666822795
50,ESN,7,0,0.0,0.11169859982073238
50,LinearStateMap,7,0,0.0,1.5093210435004405
50,MLP,7,0,0.0,0.1124900522124863
50,NVAR,7,0,0.0,210.209121178154
50,Persistence,7,7,100.0,0.0006514232770150417
50,SINDy,7,0,0.0,0.08662346392635524
50,pCHA,7,7,100.0,0.00015571144414039674
100,EDMD,7,0,0.0,751.9239230717575
100,ESN,7,0,0.0,0.11153368696130404
100,LinearStateMap,7,0,0.0,1.7650187521108591
100,MLP,7,0,0.0,0.11274777263623967
100,NVAR,7,0,0.0,67.50117838930285
100,Persistence,7,7,100.0,0.0006514232770150417
100,SINDy,7,0,0.0,0.045182807163523096
100,pCHA,7,7,100.0,0.00015571144414039658
200,EDMD,7,0,0.0,1149.7413266057504
200,ESN,7,0,0.0,0.11036823419911326
200,LinearStateMap,7,0,0.0,0.19931667528229624
200,MLP,7,0,0.0,0.11323498969536983
200,NVAR,7,0,0.0,98.48715515221977
200,Persistence,7,7,100.0,0.0006514232770150417
200,SINDy,7,0,0.0,0.6780582651326179
200,pCHA,7,7,100.0,0.00015571144414039658
