system,model,N,M,T_steps,steps,failed,err_max,PASS
Lorenz,pCHA,100,30,250000,250000,False,0.00041171082094076966,True
Lorenz,Persistence,100,30,250000,250000,False,0.08896473414540443,True
Lorenz,SINDy,100,30,250000,1229,True,96.9389325894966,False
Lorenz,EDMD,100,30,250000,708,True,10963.495756262417,False
Lorenz,NVAR,100,30,250000,489,True,12878.870725363946,False
Lorenz,LinearStateMap,100,30,250000,250000,False,9.83054770393264,True
Chen,pCHA,100,30,250000,250000,False,0.00032994109236038826,True
Chen,Persistence,100,30,250000,250000,False,0.09227937128210445,True
Chen,SINDy,100,30,250000,40139,True,137.6976437322654,False
Chen,EDMD,100,30,250000,2319,True,71.0643628983912,False
Chen,NVAR,100,30,250000,91,True,94.8014661587526,False
Chen,LinearStateMap,100,30,250000,250000,False,20.999238896405103,True
Rossler,pCHA,100,30,250000,250000,False,0.002176504203399195,True
Rossler,Persistence,100,30,250000,250000,False,0.19390988300362677,True
Rossler,SINDy,100,30,250000,2931,True,3397.4338685418506,False
Rossler,EDMD,100,30,250000,1466,True,196.35809063297128,False
Rossler,NVAR,100,30,250000,91,True,1886.2859262287225,False
Rossler,LinearStateMap,100,30,250000,250000,False,96.51752389949347,True
Halvorsen,pCHA,100,30,250000,250000,False,0.000715144822937611,True
Halvorsen,Persistence,100,30,250000,250000,False,0.11054824685570644,True
Halvorsen,SINDy,100,30,250000,250000,False,0.5399297948134669,True
Halvorsen,EDMD,100,30,250000,250000,False,5.114360291793523,True
Halvorsen,NVAR,100,30,250000,128,True,460.06877440892737,False
Halvorsen,LinearStateMap,100,30,250000,250000,False,16.330007693854817,True
Thomas,pCHA,100,30,250000,250000,False,0.012024246962305024,True
Thomas,Persistence,100,30,250000,250000,False,0.08412768675248163,True
Thomas,SINDy,100,30,250000,1589,True,847.0736843189928,False
Thomas,EDMD,100,30,250000,714,True,30966.013780223304,False
Thomas,NVAR,100,30,250000,98,True,9769.193204358646,False
Thomas,LinearStateMap,100,30,250000,250000,False,347.36700506457635,True
Duffing,pCHA,100,30,250000,250000,False,0.003996407107179441,True
Duffing,Persistence,100,30,250000,250000,False,0.07169695844740025,True
Duffing,SINDy,100,30,250000,294,True,263.9288821747136,False
Duffing,EDMD,100,30,250000,349,True,135.6089544737298,False
Duffing,NVAR,100,30,250000,277,True,893.1218066867697,False
Duffing,LinearStateMap,100,30,250000,250000,False,10.952466965738617,True
Aizawa,pCHA,100,30,250000,250000,False,4.5316182155663184e-05,True
Aizawa,Persistence,100,30,250000,250000,False,0.005805148686669422,True
Aizawa,SINDy,100,30,250000,102044,True,721.6321191707749,False
Aizawa,EDMD,100,30,250000,118589,True,3283.8454862460057,False
Aizawa,NVAR,100,30,250000,144,True,37.351665379570434,False
Aizawa,LinearStateMap,100,30,250000,250000,False,67.94265755483787,True
HyperCai,pCHA,100,30,250000,250000,False,0.001651315082666505,True
HyperCai,Persistence,100,30,250000,250000,False,0.07049123724399292,True
HyperCai,SINDy,100,30,250000,250000,False,0.15789357642369828,True
HyperCai,EDMD,100,30,250000,50841,True,3564.9153321250137,False
HyperCai,NVAR,100,30,250000,103,True,2509.1646408002266,False
HyperCai,LinearStateMap,100,30,250000,250000,False,10.746312487925765,True
HyperRossler,pCHA,100,30,250000,204664,True,178.42224371775325,False
HyperRossler,Persistence,100,30,250000,26070,True,0.03442219445866899,False
HyperRossler,SINDy,100,30,250000,8849,True,463.1654164658666,False
HyperRossler,EDMD,100,30,250000,14357,True,191.4052949824573,False
HyperRossler,NVAR,100,30,250000,99,True,541.1363814945171,False
HyperRossler,LinearStateMap,100,30,250000,25348,True,5928.343641939617,False
HyperWang,pCHA,100,30,250000,250000,False,1.8595933998383719e-06,True
HyperWang,Persistence,100,30,250000,51450,True,0.0021478329477304216,False
HyperWang,SINDy,100,30,250000,566,True,12.864637041214172,False
HyperWang,EDMD,100,30,250000,355,True,8.566638307498627,False
HyperWang,NVAR,100,30,250000,77,True,18.561845369010815,False
HyperWang,LinearStateMap,100,30,250000,51450,True,66.688354083556,False
SprottA,pCHA,100,30,250000,250000,False,0.0019475455772674413,True
SprottA,Persistence,100,30,250000,250000,False,0.14017485411192449,True
SprottA,SINDy,100,30,250000,6298,True,644.1409277366794,False
SprottA,EDMD,100,30,250000,4873,True,2079.419387401738,False
SprottA,NVAR,100,30,250000,99,True,23161.092028051662,False
SprottA,LinearStateMap,100,30,250000,250000,False,32.99514699995011,True
SprottB,pCHA,100,30,250000,250000,False,0.0062951378362412404,True
SprottB,Persistence,100,30,250000,250000,False,0.30102970674279833,True
SprottB,SINDy,100,30,250000,227,True,972.7920550112035,False
SprottB,EDMD,100,30,250000,345,True,8101.94091949077,False
SprottB,NVAR,100,30,250000,247,True,1150.2922386611629,False
SprottB,LinearStateMap,100,30,250000,250000,False,12.884111669338127,True
SprottC,pCHA,100,30,250000,250000,False,0.00010519159277757631,True
