n_train,model,total,passed,pass_rate,median_max_err
15,pCHA,20,20,100.0,0.0005685
15,Persistence,20,18,90.0,0.02311
15,ESN,20,0,0.0,5.9695
15,NVAR,20,0,0.0,369.95
15,SINDy,20,0,0.0,599.7
15,EDMD,20,0,0.0,3302.0
15,LinearStateMap,20,0,0.0,690.15
15,MLP,20,0,0.0,5.9665
50,pCHA,20,20,100.0,0.00056775
50,Persistence,20,18,90.0,0.02311
50,ESN,20,0,0.0,8.273
50,NVAR,20,0,0.0,919.65
50,SINDy,20,2,10.0,749.85
50,EDMD,20,0,0.0,5636.5
50,LinearStateMap,20,0,0.0,76.63499999999999
50,MLP,20,0,0.0,8.262
100,pCHA,20,20,100.0,0.00056825
100,Persistence,20,19,95.0,0.02311
100,ESN,20,0,0.0,8.2835
100,NVAR,20,0,0.0,2225.0
100,SINDy,20,3,15.0,2227.5
100,EDMD,20,0,0.0,16410.0
100,LinearStateMap,20,0,0.0,35.085
100,MLP,20,0,0.0,8.2605
200,pCHA,20,20,100.0,0.0004738
200,Persistence,20,19,95.0,0.02311
200,ESN,20,0,0.0,8.1965
200,NVAR,20,0,0.0,5141.5
200,SINDy,20,2,10.0,3454.5
200,EDMD,20,0,0.0,35095.0
200,LinearStateMap,20,0,0.0,37.315
200,MLP,20,0,0.0,8.199
